SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
03/01/2022 12:01:25PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
1885-1,88,1135430,2/16/2022,09:45:09AM,R134A30,LCSR134A30,$156.97 ,1,$279.99 ,$279.99 ,$123.02 ,LCS,A
1885-1,88,1135430,2/16/2022,09:45:09AM,57202MP,WIX57202MP,$6.93 ,12,$9.10 ,$109.20 ,$26.04 ,WIX,AP
1885-1,88,1135430,2/16/2022,09:45:09AM,GPNB48100,AMXGPNB48100,$12.48 ,1,$15.44 ,$15.44 ,$2.96 ,AMX,A
D3129,97,618959,2/2/2022,04:23:27PM,HLK2139,ATMHLK2139,$3.85 ,1,$6.99 ,$6.99 ,$3.14 ,ATM,AP
4176,6,1137026,2/24/2022,03:32:48PM,MTM-0590,PAIMTM-0590,$69.62 ,1,$98.66 ,$98.66 ,$29.04 ,PAI,A
D9847,95,620356,2/15/2022,02:19:18PM,45245,FJC45245,$48.60 ,1,$57.95 ,$57.95 ,$9.35 ,FJC,A
D3720-1,4,1134307,2/9/2022,08:43:08AM,E-5210,EUCE-5210,$90.76 ,4,$129.66 ,$518.64 ,$155.60 ,EUC,APQRT
D3720-1,4,1134307,2/9/2022,08:43:08AM,E-5230,EUCE-5230,$64.56 ,4,$92.24 ,$368.96 ,$110.72 ,EUC,APQRT
5860,15,1133268,2/2/2022,10:59:49AM,41810,SHL41810,$7.01 ,1,$11.94 ,$11.94 ,$4.93 ,SHL,A
5860,15,1133268,2/2/2022,10:59:49AM,1006021,SHL1006021,$7.66 ,1,$12.06 ,$12.06 ,$4.40 ,SHL,AP
5860,15,1133268,2/2/2022,10:59:49AM,AN97-16,JIPAN97-16,$3.52 ,1,$7.44 ,$7.44 ,$3.92 ,JIP,AP
7193-2,15,1135171,2/15/2022,08:53:01AM,22626,VEL022626,$5.73 ,6,$10.88 ,$65.28 ,$30.90 ,VEL,AP
2230,15,1133887,2/5/2022,09:54:58AM,XK3124709E2,MERXK3124709E2,$51.88 ,4,$73.78 ,$295.12 ,$87.60 ,MER,AEP
2230,15,1133887,2/5/2022,09:54:58AM,78502B,WEB78502B,$124.13 ,4,$201.30 ,$805.20 ,$308.68 ,WEB,AP
D3520-32,69,620468,2/16/2022,07:53:57PM,G20307-1616,GATG20307-1616,$28.08 ,2,$43.51 ,$87.02 ,$30.86 ,GAT,A
5858,54,1135369,2/15/2022,03:38:46PM,SHA12702,CVLSHA12702,$11.59 ,1,$16.91 ,$16.91 ,$5.32 ,CVL,AP
5858,54,1135369,2/15/2022,03:38:46PM,CP25RPLS1,MERCP25RPLS1,$104.99 ,1,$158.84 ,$158.84 ,$53.85 ,MER,A
5858,54,1135369,2/15/2022,03:38:46PM,KNKKK5-5/16,ISNKNKKK5-5/16,$5.59 ,3,$8.79 ,$26.37 ,$9.60 ,ISN,AP
3019,123,619668,2/9/2022,09:52:31AM,572.1021,ATM572.1021,$11.35 ,1,$19.50 ,$19.50 ,$8.15 ,ATM,APQT
5858,54,1135369,2/15/2022,03:38:46PM,S-8687,SASS-8687,$0.94 ,1,$2.62 ,$2.62 ,$1.68 ,SAS,AP
D1389,16,619325,2/7/2022,01:38:59PM,K181265BXW,SPOK181265BXW,$67.64 ,2,$97.94 ,$195.88 ,$60.60 ,SPO,APQT
D0912,129,621344,2/23/2022,04:51:28PM,013-00439,FTE013-00439,$5.74 ,1,$11.93 ,$11.93 ,$6.19 ,FTE,AP
D0912,129,621344,2/23/2022,04:51:28PM,TV-545D,MHKTV-545D,$1.51 ,10,$1.99 ,$19.90 ,$4.80 ,MHK,AP
7985,101,1135170,2/15/2022,11:48:33AM,10130,SHL10130,$492.14 ,2,$635.00 ,"1,270.00",$285.72 ,SHL,AP
D0517,69,619888,2/10/2022,,27475,GAT27475,$15.55 ,1,$22.13 ,$22.13 ,$6.58 ,GAT,A
9248,74,1137041,2/24/2022,03:47:18PM,6319,TAC6319,$133.14 ,1,$167.70 ,$167.70 ,$34.56 ,TAC,AP
D1480,13,1136278,2/21/2022,,177.TG3,ATM177.TG3,$13.17 ,3,$22.64 ,$67.92 ,$28.41 ,ATM,A
D4634,87,619837,2/10/2022,01:24:09PM,60700-3,TLC60700-3,$1.34 ,1,$1.72 ,$1.72 ,$0.38 ,TLC,A
D4634,87,619837,2/10/2022,01:24:09PM,4050-3,TLC4050-3,$10.76 ,4,$13.85 ,$55.40 ,$12.36 ,TLC,A
D1480,13,1136703,2/23/2022,,MR4515QH23S,MERMR4515QH23S,$14.59 ,2,$19.88 ,$39.76 ,$10.58 ,MER,APY
